"title","number","body","created_at","updated_at","html_url","issue_labels"
"Wrap reading, labeling, factorizing and date(time) conversion",17,"**Test objectives:**  
Assess whether the wrapper correctly reads and processes a secuTrial data export.

**Test type 1:**  
Check if labels are set.

**Test type 2:**  
Check if `export_options` are set correctly.

**Test type 3:**  
Check if input parameters work.

**Test type 4:**  
Check equal zipped and unzipped exports for equality after reading into R.

**Test type 5:**  
Check if a missing input file triggers and error.

**Technical test source:**
[test-read_secuTrial.R](https://github.com/SwissClinicalTrialOrganisation/secuTrialR/blob/master/tests/testthat/test-read_secuTrial.R)

**Linkage to related documents:**
User requirement: #5
Functional specification: #16

","2020-04-24T14:18:48Z","2020-04-24T14:18:48Z","https://github.com/SwissClinicalTrialOrganisation/secuTrialR_validation/issues/17","Test"
"Wrap reading, labeling, factorizing and date(time) conversion",16,"**Description:**  
Since it is advised to read a secuTrial data export and always perform a factorization, date(time) conversion and labeling it is most user friendly to wrap all of these processes into in a single function. [read_secuTrial()](https://github.com/SwissClinicalTrialOrganisation/secuTrialR/blob/master/R/read_secuTrial.R) performs this task and returns a `secuTrialdata` object which is factorized, labeled and has converted date(time)s.

**Risk assessment: 2**
For each select one of: 1 = low, 2 = medium, 3 = high
Explain each selection briefly.
**Severity**: 3; If there is an error during data reading, all downstream processes are compromised. Most risks are, however, inherited from the wrapped functions.
**Probability**: 1; Wrapping functions in not inherently complex. Thus the likelihood of errors caused purely by the wrapper is small.
**Detectability**: 2; Severe issues are likely to be detected reasonably swiftly during interaction with the data.

**Linkage to related documents:**  
User requirement: #5
Test: #7 #8 #9 #11 #13 #15 

","2020-04-24T14:11:10Z","2020-04-24T14:11:10Z","https://github.com/SwissClinicalTrialOrganisation/secuTrialR_validation/issues/16","Functional specification, Medium risk"
"Label variables",15,"**Test objectives:**  
Check if the variables are labelled correctly.

**Test type 1:**  
Test contents of specific labels and units for different export options.

**Test type 2:**  
Test if labeling is automatically performed for factorized variables and variables with transformed data(time).

**Technical test source:**
[test-labels_secutrial.R](https://github.com/SwissClinicalTrialOrganisation/secuTrialR/blob/master/tests/testthat/test-labels_secutrial.R)

**Linkage to related documents:**
User requirement: #4 #5 
Functional specification: #14

","2020-04-24T14:00:08Z","2020-04-24T14:00:08Z","https://github.com/SwissClinicalTrialOrganisation/secuTrialR_validation/issues/15","Test"
"Label variables in a secuTrial data export",14,"**Description:**  
During database setup in secuTrial it is possible to add units and labels to variables to increase tangibility during data entry. This information is also potentially useful during analysis in R and can be added to the variables in R with the [label_secuTrial()](https://github.com/SwissClinicalTrialOrganisation/secuTrialR/blob/master/R/labels_secuTrial.R) function.

**Risk assessment: 1**
For each select one of: 1 = low, 2 = medium, 3 = high
Explain each selection briefly.
**Severity**: 1; The raw data is not touched and wrong labels are unlikely to cause major problems.
**Probability**: 1; Labeling is not an inherently complex process and thus failures are unlikely.
**Detectability**: 1; If the labels are used during analysis it is highly likely that wrong labels are easily detected.

**Linkage to related documents:**  
User requirement: #4 #5
Test: 

","2020-04-24T13:43:43Z","2020-04-24T13:43:43Z","https://github.com/SwissClinicalTrialOrganisation/secuTrialR_validation/issues/14","Functional specification, Low risk"
"Factorize categorical variables",13,"**Test objectives:**  
Check if factorization of categorical variables functions as expected.

**Test type 1:**  
Check if attempted factorization of a `secuTrialdata` object without reference data in a separate table (i.e. `cl`) triggers an error.

**Test type 2:**  
Check if factors were added for all categorical variables.

**Test type 3:**  
Check if the factor levels are correct for a selection of categorical variables.

**Test type 4:**  
Check if refactorization triggers a warning.

**Test type 5:**  
Check that duplicated factor levels can be handled.

**Technical test source:**
[test-factorize_secutrial.R](https://github.com/SwissClinicalTrialOrganisation/secuTrialR/blob/master/tests/testthat/test-factorize_secutrial.R)

**Linkage to related documents:**
User requirement: #3 #5 
Functional specification: #12 

","2020-04-24T13:31:43Z","2020-04-24T13:31:43Z","https://github.com/SwissClinicalTrialOrganisation/secuTrialR_validation/issues/13","Test"
"Factorize categorical variables from a secuTrial data export",12,"**Description:**  
In order to perform a correct analysis of the data in categorical variables it is necessary to be aware of all feasible categories. It is, however, easily possible to overlook categories which were not chosen during data entry. To remedy this situation, secuTrial allows to export reference values separately. If this is done, the `cl` table in the secuTrial data export contains all necessary information to transform the data to a factorized form within R statistics which also contains factor levels which were not selected during data entry. In `secuTrialR` this task is performed by the [factorize_secuTrial()](https://github.com/SwissClinicalTrialOrganisation/secuTrialR/blob/master/R/factorize.R) function. It adds a new column to the data named `original_variable_name.factor` in which the factorized version of the raw data is saved.

**Risk assessment: 1**
For each select one of: 1 = low, 2 = medium, 3 = high
Explain each selection briefly.
**Severity**: 3; Wrong transformation of data corrupts the data and would have severe influence.
**Probability**: 1; The transformation is not an inherently complex process and thus failures are unlikely.
**Detectability**: 1; Failure during conversion likely cause the R code to fail and will likely be swiftly detected.

**Linkage to related documents:**  
User requirement: #3 #5 
Test: 

","2020-04-24T13:14:36Z","2020-04-24T13:18:08Z","https://github.com/SwissClinicalTrialOrganisation/secuTrialR_validation/issues/12","Functional specification, Low risk"
"Convert date and datetime variables",11,"**Test objectives:**  
Test if the conversion of the secuTrial date(time) standard to the R date(time) standard (i.e. class `Date`, `POSIXct`, `POSIXt`) works as expected.

**Test type 1:**  
Test warnings.

**Test type 2:**  
Check the class type returned by the function.

**Test type 3:**  
Check if column names were correctly added.

**Technical test source:**
[test-dates_secutrial.R](https://github.com/SwissClinicalTrialOrganisation/secuTrialR/blob/master/tests/testthat/test-dates_secutrial.R)

**Linkage to related documents:**
User requirement: #2 #5
Functional specification: #10 

","2020-04-24T12:25:00Z","2020-04-24T12:33:39Z","https://github.com/SwissClinicalTrialOrganisation/secuTrialR_validation/issues/11","Test"
"Convert date and datetime variables from a secuTrial data export",10,"**Description:**  
The date format returned by secuTrial is not automatically intuitive both for users and for digital systems. Thus `secuTrialR` incorporates the functionality `dates_secuTrial()` to add additional columns to the datasets within a `secuTrialdata` object. The additional columns contain the translations of the date(time) format within secuTrial to a date(time) format more easily usable in R (i.e. class `Date`, `POSIXct`, `POSIXt`) and are called e.g. `original_variable_name.date` or `original_variable_name.datetime`.

**Risk assessment: 1**
For each select one of: 1 = low, 2 = medium, 3 = high
Explain each selection briefly.
**Severity**: 3; Wrong transformation of dates corrupts the data and would have severe influence.
**Probability**: 1; The transformation is not an inherently complex process and thus failures are unlikely. 
**Detectability**: 1; Failures during conversion likely return `NA` values. Internal checks are implemented to check if not all data was converted and users are informed in the case of failures.

**Linkage to related documents:**  
User requirement: #2 #5 
Test: #11 

","2020-04-24T12:14:21Z","2020-04-24T13:17:52Z","https://github.com/SwissClinicalTrialOrganisation/secuTrialR_validation/issues/10","Functional specification, Low risk"
"Build a secuTrialdata object",9,"**Test objectives:**  
Assure that the data which is read into R during the construction of the `secuTrialdata` object is correct.

**Test type 1:**  
Read data from exports with a variety of export options and check if the amount of items in the `secuTrialdata` object is as expected.

**Test type 2:**  
Test if the dimensions of specific tables in the `secuTrialdata` objects are as expected.

**Test type 3:**  
Check add_id, lab_id, centre_info and proj_setup export options.

**Test type 4:**  
Check if required missing information on `column_names` triggers an error. 

**Test type 5:**  
Check if non existent export file triggers an error.

**Technical test source:**
[test-read_secuTrial_raw.R](https://github.com/SwissClinicalTrialOrganisation/secuTrialR/blob/master/tests/testthat/test-read_secuTrial_raw.R)

**Linkage to related documents:**
User requirement: #1 
Functional specification: #6 

","2020-04-24T11:42:29Z","2020-04-24T11:42:29Z","https://github.com/SwissClinicalTrialOrganisation/secuTrialR_validation/issues/9","Test"
"Read secuTrial export data into R",8,"**Test objectives:**  
Assure that CSV files in secuTrial data exports can be correctly read into R statistics.

**Test type 1:**  
Read casenodes, centre, visitplan and study data tables from a zipped export into R and check if the dimensions of the data are as expected.

**Test type 2:**  
Read the same tables from test type 1 from an unzipped export and check them for equality with their zipped counterparts.

**Test type 3:**  
Check if a wrong export options specification for the zipped option causes an error.

**Technical test source:**
[test-read_export_table.R](https://github.com/SwissClinicalTrialOrganisation/secuTrialR/blob/master/tests/testthat/test-read_export_table.R)

**Linkage to related documents:**
User requirement: #1 
Functional specification: #6 

","2020-04-24T11:28:35Z","2020-04-24T11:28:35Z","https://github.com/SwissClinicalTrialOrganisation/secuTrialR_validation/issues/8","Test"
